Title,Language,Author,Price,ImageURL
超圖解 Python 程式設計入門,中文書,趙英傑,513 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/65/0010826519.jpg
普格碼島的法師：歡樂自學寫程式,中文書,唐宗浩,405 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/075/93/0010759330.jpg
Python + ChatGPT 零基礎+高效率學程式設計與運算思維 (第三版),中文書,洪錦魁,616 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/41/0010954180.jpg
Python初學特訓班(第五版)：從快速入門到主流應用全面實戰(附500分鐘影音教學/範例程式),中文書,文淵閣工作室,379 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/92/0010929209.jpg
提升程式設計師的面試力：189道面試題目與解答 第六版 修訂版,中文書,Gayle Laakmann McDowell,774 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/12/0010881287.jpg
零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利,中文書,量化通,405 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/50/0010925009.jpg
演算法：圖解邏輯思維 + Python程式實作 王者歸來,中文書,洪錦魁,568 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/76/0010937674.jpg
Python機器學習超進化：AI影像辨識跨界應用實戰(附100分鐘影像處理入門影音教學/範例程式),中文書,文淵閣工作室,355 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/087/07/0010870722.jpg
MATLAB程式設計入門篇(第四版),中文書,張智星,504 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/071/34/0010713451.jpg
Python + ChatGPT 零基礎+高效率學程式設計與運算思維(第四版),中文書,洪錦魁,624 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/82/0010978291.jpg
專門為中學生寫的程式語言設計：強化邏輯思考力,中文書,侯冠維,300 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/62/0010796277.jpg
NumPy 高速運算徹底解說：六行寫一隻程式?你真懂深度學習?手工算給你看!,中文書,吉田拓真,592 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/084/41/0010844123.jpg
由重構學習C++程式設計,中文書,劉邦鋒,790 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/86/0010958680.jpg
培養與鍛鍊程式設計的邏輯腦：世界級程式設計大賽的知識、心得與解題分享 [第二版],中文書,北川宜稔,468 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/061/69/0010616945.jpg
程式設計邏輯訓練超簡單 Scratch 3初學特訓班(附330分鐘影音教學/範例檔),中文書,文淵閣工作室,284 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/50/0010825027.jpg
無瑕的程式碼 敏捷完整篇：物件導向原則、設計模式與C#實踐,中文書,Micah Martin,624 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/075/33/0010753373.jpg
由片語學習C程式設計(第二版),中文書,劉邦鋒,592 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/31/0010833175.jpg
[全圖解] 寫給所有人的運算思維入門：5堂基礎課程+演算法練習，邊做邊學，建構邏輯思考、培養程式設計核心能力的原理和應用,中文書,草野俊彥,300 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/97/0010839715.jpg
Android App 程式設計教本之無痛起步：使用 Android Studio 2.X 開發環境,中文書,施威銘,458 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/074/46/0010744686.jpg
Python 技術者們：練功!老手帶路教你精通正宗 Python 程式,中文書,Naomi Ceder,616 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/48/0010834816.jpg
一步到位!Python 程式設計-最強入門教科書 第三版,中文書,陳惠貞,497 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/59/0010925961.jpg
邊玩邊學程式設計：30堂Python創意程式課，輕鬆掌握程式語言，培養運算思維!,中文書,希娜‧瓦帝耶納坦,299 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/44/0010834440.jpg
重構(第二版)：改善既有程式的設計,中文書,Martin Fowler,720 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/58/0010825896.jpg
Scratch 3.0程式設計好好玩：初學者感到安心的步驟式教學，培養邏輯思維，算數、遊戲、畫圖、配樂全都辦得到，英國DK出版社最新全球版,中文書,克雷格．斯蒂爾,355 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/084/51/0010845101.jpg
人人都能學會寫程式：李家同教你用邏輯思考學程式設計,中文書,李家同,432 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/050/98/0010509876.jpg
用Python學AI理論與程式實作(涵蓋Certiport ITS AI國際認證模擬試題),中文書,李啟龍,458 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/34/0010983469.jpg
Unity 遊戲設計：程式基礎、操作祕訣、製作流程、關卡設計全攻略,中文書,北村愛実,497 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/096/50/0010965037.jpg
Scratch超人氣遊戲大改造：動腦想、動手玩，讓程式與遊戲設計都變有趣!,中文書,Asobism,387 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/090/25/0010902561.jpg
APCS大學程式設計先修檢測最強考衝特訓班：C/C++解題攻略,中文書,文淵閣工作室,237 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/080/73/0010807303.jpg
Python與LINE Bot機器人全面實戰特訓班：Flask最強應用(附210分鐘影音教學/範例程式),中文書,文淵閣工作室,434 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/34/0010883495.jpg
Matlab 程式設計(第2版) (附1光碟片),中文書,洪維恩,646 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/061/09/0010610983.jpg
