Title,Language,Author,Price,Image URL
無瑕的程式碼：敏捷軟體開發技巧守則,中文書,"Robert C. Martin, 戴于晉、博碩文化",458元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/057/98/0010579897.jpg&w=187&h=187&v=513f2000
Python自學聖經(第二版)：從程式素人到開發強者的技術與實戰大全(附影音/範例程式),中文書,文淵閣工作室,695元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/089/28/0010892834.jpg&w=187&h=187&v=60a4daa0
無瑕的程式碼：整潔的軟體設計與架構篇,中文書,"Robert C. Martin, 林欣穎",458元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/078/69/0010786994.jpg&w=187&h=187&v=5af17c80
無瑕的程式碼 番外篇：專業程式設計師的生存之道,中文書,"Robert C. Martin, 陳錦輝",284元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/059/82/0010598217.jpg&w=187&h=187&v=521b3c39
白話演算法!培養程式設計的邏輯思考,中文書,"Aditya Y. Bhargava, 郭柏堅",410元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/77/0010887779.jpg&w=187&h=187&v=605aa42b
比 VBA 更強的 RPA 來了!Power Automate Desktop 零程式打造辦公室流程自動化,中文書,"株式会社ASAHI Accounting Robot研究所, 李彥婷",442元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/42/0010924204.jpg&w=187&h=187&v=6273a731
超圖解 Python程式設計入門,中文書,趙英傑,513元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/65/0010826519.jpg&w=187&h=187&v=5d14a8bf
普格碼島的法師：歡樂自學寫程式,中文書,"唐宗浩, 61Chi",405元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/075/93/0010759330.jpg&w=187&h=187&v=596d8ee5
Python + ChatGPT 零基礎+高效率學程式設計與運算思維 (第三版),中文書,洪錦魁,616元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/41/0010954180.jpg&w=187&h=187&v=642564e0
Python初學特訓班(第五版)：從快速入門到主流應用全面實戰(附500分鐘影音教學/範例程式),中文書,文淵閣工作室,379元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/92/0010929209.jpg&w=187&h=187&v=62bc29f9
提升程式設計師的面試力：189道面試題目與解答 第六版 修訂版,中文書,Gayle Laakmann McDowell,774元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/12/0010881287.jpg&w=187&h=187&v=5ffc28b1
零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利,中文書,量化通,405元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/50/0010925009.jpg&w=187&h=187&v=628b703b
演算法：圖解邏輯思維 + Python程式實作 王者歸來,中文書,洪錦魁,568元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/76/0010937674.jpg&w=187&h=187&v=633573ae
Python機器學習超進化：AI影像辨識跨界應用實戰(附100分鐘影像處理入門影音教學/範例程式),中文書,"文淵閣工作室, 鄧文淵",355元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/087/07/0010870722.jpg&w=187&h=187&v=5f5f4642
MATLAB程式設計入門篇(第四版),中文書,張智星,504元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/071/34/0010713451.jpg&w=187&h=187&v=571608b1
Python + ChatGPT 零基礎+高效率學程式設計與運算思維(第四版),中文書,洪錦魁,624元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/82/0010978291.jpg&w=187&h=187&v=658d4e69
專門為中學生寫的程式語言設計：強化邏輯思考力,中文書,"侯冠維, 劉國有, 李家同, 謝一功, 陳庭偉",300元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/62/0010796277.jpg&w=187&h=187&v=5b715e2e
NumPy 高速運算徹底解說：六行寫一隻程式?你真懂深度學習?手工算給你看!,中文書,"吉田拓真, 尾原颯, 吳嘉芳, 蒲宗賢, 施威銘研究室",592元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/084/41/0010844123.jpg&w=187&h=187&v=5df9ab4c
